ral,rgb,hex,german,english,french,spanish,italian,nederlands
ral 5019,027-085-131,#1b5583,capriblau,capri blue,bleu capri,azul capri,blu capri,capriblauw
ral 5020,029-051-074,#1d334a,ozeanblau,ocean blue,bleu océan,azul oceano,blu oceano,oceaanblauw
ral 5021,037-109-123,#256d7b,wasserblau,water blue,bleu d’eau,azul agua,blu acqua,waterblauw
ral 5022,037-040-080,#252850,nachtblau,night blue,bleu nocturne,azul noche,blu notte,nachtblauw
ral 5023,073-103-141,#49678d,fernblau,distant blue,bleu distant,azul lejanía,blu distante,verblauw
ral 5024,093-155-155,#5d9b9b,pastellblau,pastel blue,bleu pastel,azul pastel,blu pastello,pastelblauw
ral 5025,042-100-120,#2a6478,perlenzian,pearl gentian blue,gentiane nacré,gencian perlado,blu genziana perlato,parelmoerblauw
ral 5026,016-044-084,#102c54,perlnachtblau,pearl night blue,bleu nuit nacré,azul noche perlado,blu notte perlato,"parelmoer-nachtblauw"
ral 6000,049-102-080,#316650,patinagrün,patina green,vert patine,verde patina,verde patina,patinagroen
ral 6001,040-114-051,#287233,smaragdgrün,emerald green,vert émeraude,verde esmeralda,verde smeraldo,smaragdgroen
ral 6002,045-087-044,#2d572c,laubgrün,leaf green,vert feuillage,verde hoja,verde foglia,loofgroen
ral 6003,066-070-050,#424632,olivgrün,olive green,vert olive,verde oliva,verde oliva,olijfgroen
ral 6004,031-058-061,#1f3a3d,blaugrün,blue green,vert bleu,verde azulado,verde bluastro,blauwgroen
ral 6005,047-069-056,#2f4538,moosgrün,moss green,vert mousse,verde musgo,verde muschio,mosgroen
ral 6006,062-059-050,#3e3b32,grauoliv,grey olive,olive gris,oliva grisáceo,oliva grigiastro,grijs olijfgroen
ral 6007,052-059-041,#343b29,flaschengrün,bottle green,vert bouteille,verde botella,verde bottiglia,flessegroen
ral 6008,057-053-042,#39352a,braungrün,brown green,vert brun,verde parduzco,verde brunastro,bruingroen
ral 6009,049-055-043,#31372b,tannengrün,fir green,vert sapin,verde abeto,verde abete,dennegroen
ral 6010,053-104-045,#35682d,grasgrün,grass green,vert herbe,verde hierba,verde erba,grasgroen
ral 6011,088-114-070,#587246,resedagrün,reseda green,vert réséda,verde reseda,verde reseda,resedagroen
ral 6012,052-062-064,#343e40,schwarzgrün,black green,vert noir,verde negruzco,verde nerastro,zwartgroen
ral 6013,108-113-086,#6c7156,schilfgrün,reed green,vert jonc,verde caña,verde canna,rietgroen
ral 6014,071-064-046,#47402e,gelboliv,yellow olive,olive jaune,amarillo oliva,oliva giallastro,geel olijfgroen
ral 6015,059-060-054,#3b3c36,schwarzoliv,black olive,olive noir,oliva negruzco,oliva nerastro,zwart olijfgroen
ral 6016,030-089-069,#1e5945,türkisgrün,turquoise green,vert turquoise,verde turquesa,verde turchese,turkooisgroen
ral 6017,076-145-065,#4c9141,maigrün,may green,vert mai,verde mayo,verde maggio,meigroen
ral 6018,087-166-057,#57a639,gelbgrün,yellow green,vert jaune,verde amarillento,verde giallastro,geelgroen
ral 6019,189-236-182,#bdecb6,weißgrün,pastel green,vert blanc,verde lanquecino,verde biancastro,witgroen
ral 6020,046-058-035,#2e3a23,chromoxidgrün,chrome green,vert oxyde chromique,verde cromo,verde cromo,"chroom-oxydegroen"
ral 6021,137-172-118,#89ac76,blassgrün,pale green,vert pâle,verde pálido,verde pallido,bleekgroen
ral 6022,037-034-027,#25221b,braunoliv,olive drab,olive brun,oliva parduzco,oliva brunastro,bruin olijfgroen
ral 6024,048-132-070,#308446,verkehrsgrün,traffic green,vert signalisation,verde tráfico,verde traffico,verkeersgroen
ral 6025,061-100-045,#3d642d,farngrün,fern green,vert fougère,verde helecho,verde felce,varengroen
ral 6026,001-093-082,#015d52,opalgrün,opal green,vert opale,verde opalo,verde opale,opaalgroen
ral 6027,132-195-190,#84c3be,lichtgrün,light green,vert clair,verde luminoso,verde chiaro,lichtgroen
ral 6028,044-085-069,#2c5545,kieferngrün,pine green,vert pin,verde pino,verde pino,pijnboomgroen
ral 6029,032-096-061,#20603d,minzgrün,mint green,vert menthe,verde menta,verde menta,mintgroen
ral 6032,049-127-067,#317f43,signalgrün,signal green,vert de sécurité,verde señales,verde segnale,signaalgroen
ral 6033,073-126-118,#497e76,minttürkis,mint turquoise,turquoise menthe,turquesa menta,turchese menta,mintturquoise
ral 6034,127-181-181,#7fb5b5,pastelltürkis,pastel turquoise,turquoise pastel,turquesa pastel,turchese pastello,pastelturquoise
ral 6035,028-084-045,#1c542d,perlgrün,pearl green,vert nacré,verde perlado,verde perlato,"parelmoer-donkergroen"
ral 6036,022-053-055,#193737,perlopalgrün,pearl opal green,vert opal nacré,verde ópalo perlado,verde opalo perlato,"parelmoer-lichtgroen"
ral 6037,000-143-057,#008f39,reingrün,pure green,vert pur,verde puro,verde puro,zuivergroen
ral 6038,000-187-045,#00bb2d,leuchtgrün,luminous green,vert brillant,verde brillante,verde brillante,briljantgroen
ral 7000,120-133-139,#78858b,fehgrau,squirrel grey,gris petit-gris,gris ardilla,grigio vaio,pelsgrijs
ral 7001,138-149-151,#8a9597,silbergrau,silver grey,gris argent,gris plata,grigio argento,zilvergrijs
ral 7002,126-123-082,#7e7b52,olivgrau,olive grey,gris olive,gris oliva,grigio olivastro,olijfgrijs
ral 7003,108-112-089,#6c7059,moosgrau,moss grey,gris mousse,gris musgo,grigio muschio,mosgrijs
ral 7004,150-153-146,#969992,signalgrau,signal grey,gris de sécurité,gris señales,grigio segnale,signaalgrijs
ral 7005,100-107-099,#646b63,mausgrau,mouse grey,gris souris,gris ratón,grigio topo,muisgrijs
ral 7006,109-101-082,#6d6552,beigegrau,beige grey,gris beige,gris beige,grigio beige,beigegrijs
ral 7008,106-095-049,#6a5f31,khakigrau,khaki grey,gris kaki,gris caqui,grigio kaki,kakigrijs
ral 7009,077-086-069,#4d5645,grüngrau,green grey,gris vert,gris verdoso,grigio verdastro,groengrijs
ral 7010,076-081-074,#4c514a,zeltgrau,tarpaulin grey,gris tente,gris lona,grigio tenda,zeildoekgrijs
ral 7011,067-075-077,#434b4d,eisengrau,iron grey,gris fer,gris hierro,grigio ferro,ijzergrijs
ral 7012,078-087-084,#4e5754,basaltgrau,basalt grey,gris basalte,gris basalto,grigio basalto,bazaltgrijs
ral 7013,070-069-049,#464531,braungrau,brown grey,gris brun,gris parduzco,grigio brunastro,bruingrijs
ral 7015,067-071-080,#434750,schiefergrau,slate grey,gris ardoise,gris pizarra,grigio ardesia,leigrijs
ral 7016,041-049-051,#293133,anthrazitgrau,anthracite grey,gris anthracite,gris antracita,grigio antracite,antracietgrijs
ral 7021,035-040-043,#23282b,schwarzgrau,black grey,gris noir,gris negruzco,grigio nerastro,zwartgrijs
ral 7022,051-047-044,#332f2c,umbragrau,umbra grey,gris terre d’ombre,gris sombra,grigio ombra,ombergrijs
ral 7023,104-108-094,#686c5e,betongrau,concrete grey,gris béton,gris hormigón,grigio calcestruzzo,betongrijs
ral 7024,071-074-081,#474a51,graphitgrau,graphite grey,gris graphite,gris grafita,grigio grafite,grafietgrijs
ral 7026,047-053-059,#2f353b,granitgrau,granite grey,gris granit,gris granito,grigio granito,granietgrijs
ral 7030,139-140-122,#8b8c7a,steingrau,stone grey,gris pierre,gris piedra,grigio pietra,steengrijs
ral 7031,071-075-078,#474b4e,blaugrau,blue grey,gris bleu,gris azulado,grigio bluastro,blauwgrijs
ral 7032,184-183-153,#b8b799,kieselgrau,pebble grey,gris silex,gris guijarro,grigio ghiaia,kiezelgrijs
ral 7033,125-132-113,#7d8471,zementgrau,cement grey,gris ciment,gris cemento,grigio cemento,cementgrijs
ral 7034,143-139-102,#8f8b66,gelbgrau,yellow grey,gris jaune,gris amarillento,grigio giallastro,geelgrijs
ral 7035,215-215-215,#d7d7d7,lichtgrau,light grey,gris clair,gris luminoso,grigio luce,lichtgrijs
ral 7036,127-118-121,#7f7679,platingrau,platinum grey,gris platine,gris platino,grigio platino,platinagrijs
ral 7037,125-127-120,#7d7f7d,staubgrau,dusty grey,gris poussière,gris polvo,grigio polvere,stofgrijs
ral 7038,195-195-195,#b5b8b1,achatgrau,agate grey,gris agate,gris ágata,grigio agata,agaatgrijs
ral 7039,108-105-096,#6c6960,quarzgrau,quartz grey,gris quartz,gris cuarzo,grigio quarzo,kwartsgrijs
ral 7040,157-161-170,#9da1aa,fenstergrau,window grey,gris fenêtre,gris ventana,grigio finestra,venstergrijs
ral 7042,141-148-141,#8d948d,verkehrsgrau a,traffic grey a,gris signalisation a,gris tráfico a,grigio traffico a,verkeesgrijs a
ral 7043,078-084-082,#4e5452,verkehrsgrau b,traffic grey b,gris signalisation b,gris tráfico b,grigio traffico b,verkeersgrijs b
ral 7044,202-196-176,#cac4b0,seidengrau,silk grey,gris soie,gris seda,grigio seta,zijdegrijs
ral 7045,144-144-144,#909090,telegrau 1,telegrey 1,telegris 1,gris tele 1,tele grigio 1,telegrijs 1
ral 7046,130-137-143,#82898f,telegrau 2,telegrey 2,telegris 2,gris tele 2,tele grigio 2,telegrijs 2
ral 7047,208-208-208,#d0d0d0,telegrau 4,telegrey 4,telegris 4,gris tele 4,tele grigio 4,telegrijs 4
ral 7048,137-129-118,#898176,perlmausgrau,pearl mouse grey,gris souris nacré,gris musgo perlado,grigio topo perlato,"parelmoer-muisgrijs"
ral 8000,130-108-052,#826c34,grünbraun,green brown,brun vert,pardo verdoso,marrone verdastro,groenbruin
ral 8001,149-095-032,#955f20,ockerbraun,ochre brown,brun terre de sienne,pardo ocre,marrone ocra,okerbruin
ral 8002,108-059-042,#6c3b2a,signalbraun,signal brown,brun de sécurité,marrón señales,marrone segnale,signaalbruin
ral 8003,115-066-034,#734222,lehmbraun,clay brown,brun argile,pardo arcilla,marrone fango,leembruin
ral 8004,142-064-042,#8e402a,kupferbraun,copper brown,brun cuivré,pardo cobre,"marrone rame",koperbruin
ral 8007,089-053-031,#59351f,rehbraun,fawn brown,brun fauve,pardo corzo,marrone capriolo,reebruin
ral 8008,111-079-040,#6f4f28,olivbraun,olive brown,brun olive,pardo oliva,marrone oliva,olijfbruin
ral 8011,091-058-041,#5b3a29,nussbraun,nut brown,brun noisette,pardo nuez,marrone noce,notebruin
ral 8012,089-035-033,#592321,rotbraun,red brown,brun rouge,pardo rojo,marrone rossiccio,roodbruin
ral 8014,056-044-030,#382c1e,sepiabraun,sepia brown,brun sépia,sepia,marrone seppia,sepiabruin
ral 8015,099-058-052,#633a34,kastanienbraun,chestnut brown,marron,castaño,marrone castagna,kastanjebruin
ral 8016,076-047-039,#4c2f27,mahagonibraun,mahogany brown,brun acajou,caoba,marrone mogano,mahoniebruin
ral 8017,069-050-046,#45322e,"schokoladen-braun",chocolate brown,brun chocolat,chocolate,marrone cioccolata,chocoladebruin
ral 8019,064-058-058,#403a3a,graubraun,grey brown,brun gris,pardo grisáceo,marrone grigiastro,grijsbruin
ral 8022,033-033-033,#212121,schwarzbraun,black brown,brun noir,pardo negruzco,marrone nerastro,zwartbruin
ral 8023,166-094-046,#a65e2e,orangebraun,orange brown,brun orangé,pardo anaranjado,marrone arancio,oranjebruin
ral 8024,121-085-061,#79553d,beigebraun,beige brown,brun beige,pardo beige,marrone beige,beigebruin
ral 8025,117-092-072,#755c48,blassbraun,pale brown,brun pâle,pardo pálido,marrone pallido,bleekbruin
ral 8028,078-059-049,#4e3b31,terrabraun,terra brown,brun terre,marrón tierra,marrone terra,terrabruin
ral 8029,118-060-040,#763c28,perlkupfer,pearl copper,cuivre nacré,cobre perlado,rame perlato,parelmoerkoper
ral 9001,250-244-227,#fdf4e3,cremeweiß,cream,blanc crème,blanco crema,bianco crema,crèmewit
ral 9002,231-235-218,#e7ebda,grauweiß,grey white,blanc gris,blanco grisáceo,bianco grigiastro,grijswit
ral 9003,244-244-244,#f4f4f4,signalweiß,signal white,blanc de sécurité,blanco señales,bianco segnale,signaalwit
ral 9004,040-040-040,#282828,signalschwarz,signal black,noir de sécurité,negro señales,nero segnale,signaalzwart
ral 9005,010-010-013,#0a0a0a,tiefschwarz,jet black,noir foncé,negro intenso,nero intenso,gitzwart
ral 9006,165-165-165,#a5a5a5,weißaluminium,white aluminium,aluminium blanc,aluminio blanco,aluminio brillante,blank aluminiumkleurig
ral 9007,143-143-143,#8f8f8f,graualuminium,grey aluminium,aluminium gris,aluminio gris,aluminio grigiastro,grijs aluminiumkleurig
ral 9010,255-255-255,#ffffff,reinweiß,pure white,blanc pur,blanco puro,bianco puro,zuiverwit
ral 9011,028-028-028,#1c1c1c,graphitschwarz,graphite black,noir graphite,negro grafito,nero grafite,grafietzwart
ral 9016,246-246-246,#f6f6f6,verkehrsweiß,traffic white,blanc signalisation,blanco tráfico,bianco traffico,verkeerswit
ral 9017,030-030-030,#1e1e1e,verkehrs-schwarz,traffic black,noir signalisation,negro tráfico,nero traffico,verkeerszwart
ral 9018,215-215-215,#d7d7d7,papyrusweiß,papyrus white,blanc papyrus,blanco papiro,bianco papiro,papyruswit
ral 9022,156-156-156,#9c9c9c,perlhellgrau,pearl light grey,gris clair nacré,gris claro perlado,grigio chiaro perlato,parelmoer-lichtgrijs
ral 9023,130-130-130,#828282,perldunkelgrau,pearl dark grey,gris fonçé nacré,gris oscuro perlado,grigio scuro perlato,parelmoer-donkergrijs
